ITERATION,PRED,TRUE,PROB.CASE
0,1,0,0.5498339533805847
0,0,1,0.40131232142448425
0,0,0,0.4255574643611908
0,1,1,0.622459352016449
0,0,1,0.4255574643611908
0,1,0,0.5249791741371155
0,0,0,0.4750208258628845
0,1,0,0.6681877970695496
0,1,1,0.6681877970695496
0,1,1,0.5249791741371155
0,0,1,0.4750208258628845
0,0,0,0.26894140243530273
0,1,1,0.6681877970695496
0,1,0,0.5249791741371155
1,1,0,0.6681877970695496
1,0,0,0.3543436825275421
1,0,0,0.4750208258628845
1,1,1,0.5498340129852295
1,0,0,0.26894140243530273
1,0,0,0.4750208258628845
1,1,1,0.6681877970695496
1,1,0,0.6456562876701355
1,0,1,0.3775406777858734
1,1,1,0.6681877970695496
1,0,1,0.4255574643611908
1,0,1,0.28905051946640015
1,0,1,0.40131238102912903
2,1,1,0.7310585975646973
2,0,0,0.3318122327327728
2,0,1,0.4750208258628845
2,0,1,0.31002551317214966
2,0,0,0.40131232142448425
2,1,1,0.5249791741371155
2,1,0,0.622459352016449
2,1,1,0.7109494805335999
2,0,0,0.4750208258628845
2,1,0,0.5498340129852295
2,0,0,0.3543437123298645
2,0,1,0.4750208258628845
2,1,1,0.6681877970695496
3,0,0,0.3318122327327728
3,0,1,0.3775406777858734
3,1,1,0.5986876487731934
3,0,1,0.4255574643611908
3,0,0,0.3318122327327728
3,1,1,0.5249791741371155
3,1,0,0.5744425058364868
3,1,1,0.622459352016449
3,1,0,0.5744425058364868
3,1,1,0.6899744272232056
3,1,1,0.622459352016449
3,0,0,0.40131238102912903
3,0,0,0.3775406777858734
4,1,0,0.5744425058364868
4,1,1,0.5744425058364868
4,1,0,0.5
4,1,0,0.5249791741371155
4,1,1,0.7109494805335999
4,1,0,0.622459352016449
4,0,0,0.4501659870147705
4,0,1,0.4255574643611908
4,1,1,0.6899744272232056
4,1,0,0.5
4,0,1,0.3543437123298645
4,0,0,0.4255574643611908
4,0,1,0.3543437123298645
5,1,0,0.5986876487731934
5,1,0,0.6681877970695496
5,0,0,0.3318122327327728
5,1,1,0.5
5,1,0,0.5
5,1,0,0.6681877970695496
5,1,1,0.6456562876701355
5,1,1,0.6681877970695496
5,1,1,0.6456562876701355
5,1,0,0.5986876487731934
5,0,1,0.3775406777858734
5,1,1,0.7109494805335999
5,0,1,0.40131232142448425
5,0,0,0.3775406777858734
6,0,1,0.4501659870147705
6,1,1,0.622459352016449
6,0,1,0.4750208258628845
6,0,0,0.3318122327327728
6,1,0,0.622459352016449
6,0,0,0.3318122327327728
6,0,1,0.3318122327327728
6,1,0,0.5249791741371155
6,0,0,0.4750208258628845
6,0,0,0.3775406777858734
6,1,1,0.6899744868278503
6,0,1,0.4750208258628845
6,0,1,0.3318122327327728
7,1,1,0.6456562876701355
7,1,0,0.6681877970695496
7,0,0,0.40131232142448425
7,0,0,0.40131232142448425
7,1,1,0.6899744868278503
7,1,1,0.7310585975646973
7,1,1,0.5986876487731934
7,1,0,0.622459352016449
7,1,0,0.5249791741371155
7,1,1,0.5986876487731934
7,0,1,0.3775406777858734
7,0,1,0.28905051946640015
7,0,0,0.4255574643611908
8,0,1,0.31002551317214966
8,1,1,0.5
8,0,1,0.40131232142448425
8,0,0,0.4750208258628845
8,1,0,0.622459352016449
8,1,0,0.622459352016449
8,0,0,0.3775406777858734
8,1,0,0.5249791741371155
8,1,1,0.622459352016449
8,1,0,0.5744425058364868
8,1,1,0.7310585975646973
8,0,1,0.3775406777858734
8,0,1,0.3775406777858734
9,1,0,0.622459352016449
9,0,0,0.31002551317214966
9,1,1,0.5
9,0,0,0.4501659870147705
9,1,1,0.6899744272232056
9,0,1,0.3318122327327728
9,1,1,0.622459352016449
9,1,0,0.5744425058364868
9,1,1,0.6899744272232056
9,1,0,0.5744425058364868
9,1,0,0.5986876487731934
9,0,0,0.3318122327327728
9,0,1,0.3775406777858734
10,1,0,0.5498339533805847
10,1,1,0.5249791741371155
10,0,1,0.3318122327327728
10,1,1,0.5744425058364868
10,0,0,0.3318122327327728
10,0,0,0.4255574643611908
10,1,0,0.5249791741371155
10,1,1,0.6681877970695496
10,0,0,0.4255574643611908
10,1,0,0.6681877970695496
10,0,1,0.4255574643611908
10,1,1,0.6681877970695496
10,0,1,0.4501659870147705
10,1,0,0.6681877970695496
11,1,1,0.6456562876701355
11,0,0,0.40131232142448425
11,1,0,0.6456562876701355
11,1,1,0.5
11,0,0,0.40131232142448425
11,1,1,0.6681877970695496
11,1,0,0.5744425058364868
11,0,0,0.28905051946640015
11,1,1,0.6681877970695496
11,0,0,0.40131232142448425
11,1,1,0.6456562876701355
11,1,1,0.622459352016449
11,0,1,0.40131232142448425
12,0,1,0.4255574643611908
12,1,0,0.5
12,1,1,0.6681877970695496
12,1,1,0.5498339533805847
12,1,1,0.5
12,1,0,0.5986876487731934
12,0,0,0.4750208258628845
12,0,0,0.3775406777858734
12,0,0,0.4255574643611908
12,1,1,0.6681877970695496
12,1,1,0.5498339533805847
12,0,0,0.3775406777858734
12,0,1,0.3543437123298645
13,1,0,0.622459352016449
13,1,0,0.5249791741371155
13,1,1,0.6681877970695496
13,0,1,0.3775406777858734
13,0,0,0.3543436825275421
13,0,1,0.3775406777858734
13,1,1,0.622459352016449
13,1,1,0.5249791741371155
13,1,1,0.5744425058364868
13,1,0,0.5249791741371155
13,1,0,0.5249791741371155
13,0,1,0.40131232142448425
13,0,0,0.4501659870147705
14,0,0,0.3318122327327728
14,1,0,0.6681877970695496
14,0,0,0.3775406777858734
14,1,1,0.5
14,0,0,0.3318122327327728
14,1,0,0.622459352016449
14,0,0,0.3775406777858734
14,0,1,0.3318122327327728
14,1,1,0.6899744868278503
14,0,0,0.3318122327327728
14,1,1,0.5249791741371155
14,0,1,0.3775406777858734
14,1,1,0.5986876487731934
15,0,0,0.4750208258628845
15,1,0,0.5498339533805847
15,0,0,0.3318122327327728
15,0,1,0.3775406777858734
15,0,0,0.31002551317214966
15,1,1,0.6899744868278503
15,0,1,0.3775406777858734
15,0,1,0.3775406777858734
15,1,0,0.6899744868278503
15,0,1,0.31002551317214966
15,1,1,0.6899744868278503
15,1,1,0.6899744868278503
15,0,0,0.31002551317214966
15,1,0,0.6681877970695496
16,1,1,0.7310585975646973
16,1,1,0.5
16,1,1,0.6456562876701355
16,0,0,0.3543437123298645
16,1,0,0.6899744868278503
16,1,1,0.5
16,1,0,0.5
16,0,0,0.3318122327327728
16,0,0,0.4750208258628845
16,0,1,0.3318122327327728
16,0,0,0.3318122327327728
16,1,1,0.6456562876701355
16,0,1,0.4501659870147705
17,0,0,0.3775406777858734
17,1,0,0.6899744868278503
17,1,1,0.5498339533805847
17,0,1,0.4501659870147705
17,0,0,0.4255574643611908
17,0,0,0.4750208258628845
17,0,1,0.3318122327327728
17,0,0,0.4501659870147705
