ITERATION,PRED,TRUE,PROB.CASE
0,0,0,0.18692977726459503
0,0,1,0.09821610152721405
0,0,0,0.12674568593502045
0,1,1,0.5809345841407776
0,0,1,0.24813692271709442
0,1,0,0.7111285924911499
0,0,0,0.33409443497657776
0,0,0,0.3233359754085541
0,1,1,0.7934017181396484
0,0,1,0.42033320665359497
0,0,1,0.2835826277732849
0,0,0,0.15015043318271637
0,0,1,0.49765467643737793
0,0,0,0.18636856973171234
1,1,0,0.9430175423622131
1,1,0,0.7497371435165405
1,0,0,0.2698744833469391
1,0,1,0.14020296931266785
1,0,0,0.004177635069936514
1,0,0,0.14395977556705475
1,1,1,0.9679388403892517
1,1,0,0.9741392135620117
1,0,1,0.16106244921684265
1,1,1,0.8031388521194458
1,1,1,0.5058299899101257
1,0,1,0.003424684051424265
1,0,1,0.03197059407830238
2,1,1,0.997562050819397
2,0,0,0.04908698424696922
2,0,1,0.4919981062412262
2,0,1,0.4980168640613556
2,0,0,0.03237870708107948
2,0,1,0.4638996720314026
2,0,0,0.4919981062412262
2,1,1,0.7724186182022095
2,0,0,0.4090081453323364
2,1,0,0.9265300035476685
2,0,0,0.03177223727107048
2,1,1,0.52939373254776
2,0,1,0.31141945719718933
3,1,0,0.8754082918167114
3,0,1,0.2592773139476776
3,1,1,0.5303225517272949
3,1,1,0.5540169477462769
3,0,0,0.23383811116218567
3,1,1,0.9259439706802368
3,0,0,0.1750038117170334
3,1,1,0.7830403447151184
3,0,0,0.16730712354183197
3,0,1,0.29851090908050537
3,1,1,0.786409854888916
3,1,0,0.6086263656616211
3,0,0,0.35571059584617615
4,1,0,0.8627456426620483
4,1,1,0.6035961508750916
4,1,0,0.7841228246688843
4,0,0,0.29086926579475403
4,1,1,0.6174532175064087
4,1,0,0.5392153859138489
4,0,0,0.17102128267288208
4,0,1,0.11854839324951172
4,1,1,0.6035961508750916
4,0,0,0.40253686904907227
4,0,1,0.06457982212305069
4,0,0,0.4481963515281677
4,0,1,0.4345351457595825
5,0,0,0.43179574608802795
5,0,0,0.4540662467479706
5,0,0,0.20090605318546295
5,0,1,0.41279029846191406
5,0,0,0.2301386445760727
5,0,0,0.03773564100265503
5,1,1,0.8032103180885315
5,0,1,0.47017475962638855
5,1,1,0.9124918580055237
5,0,0,0.23783744871616364
5,0,1,0.05004488676786423
5,1,1,0.5602583289146423
5,1,1,0.7725486159324646
5,1,0,0.7395820617675781
6,0,1,0.3432558476924896
6,1,1,0.8207297325134277
6,0,1,0.33091312646865845
6,0,0,0.24579878151416779
6,1,0,0.6821247339248657
6,0,0,0.08121131360530853
6,0,1,0.19832000136375427
6,0,0,0.4937114119529724
6,0,0,0.43826788663864136
6,1,0,0.547719419002533
6,1,1,0.5654218196868896
6,0,1,0.19000385701656342
6,0,1,0.1470777839422226
7,1,1,0.9093777537345886
7,0,0,0.42151939868927
7,0,0,0.2864183783531189
7,0,0,0.22279773652553558
7,1,1,0.5861740708351135
7,0,1,0.42153581976890564
7,0,1,0.40056148171424866
7,1,0,0.6758388876914978
7,1,0,0.6219062209129333
7,1,1,0.6755618453025818
7,0,1,0.4395889639854431
7,0,1,0.20667576789855957
7,0,0,0.2056906372308731
8,0,1,0.3455212414264679
8,1,1,0.581263542175293
8,1,1,0.956180214881897
8,1,0,0.5671117305755615
8,1,0,0.9574598073959351
8,1,0,0.5663390159606934
8,0,0,0.47197893261909485
8,1,0,0.5795025825500488
8,0,1,0.48083528876304626
8,1,0,0.5759602785110474
8,1,1,0.9274436235427856
8,1,1,0.505555272102356
8,1,1,0.5990197062492371
9,0,0,0.4993537366390228
9,0,0,0.2611009180545807
9,1,1,0.5793977975845337
9,0,0,0.2598222494125366
9,1,1,0.7048143148422241
9,0,1,0.07538895308971405
9,0,1,0.3115842044353485
9,1,0,0.8042555451393127
9,1,1,0.940538763999939
9,0,0,0.29170870780944824
9,1,0,0.5661585330963135
9,0,0,0.17571313679218292
9,0,1,0.054570045322179794
10,0,0,0.3663078844547272
10,1,1,0.8858603835105896
10,0,1,0.31303808093070984
10,0,1,0.15179027616977692
10,0,0,0.4928891062736511
10,0,0,0.27340343594551086
10,1,0,0.7355887293815613
10,0,1,0.4198521673679352
10,0,0,0.40865448117256165
10,1,0,0.7765847444534302
10,1,1,0.6965355277061462
10,1,1,0.8793428540229797
10,1,1,0.771727442741394
10,1,0,0.6387152075767517
11,1,1,0.9621120691299438
11,0,0,0.45336270332336426
11,1,0,0.5310333967208862
11,0,1,0.41781190037727356
11,1,0,0.6032337546348572
11,1,1,0.8165687322616577
11,1,0,0.9779932498931885
11,1,0,0.531276524066925
11,1,1,0.8245217204093933
11,1,0,0.9678207635879517
11,0,1,0.0801125168800354
11,1,1,0.9715840220451355
11,0,1,0.4277099072933197
12,0,1,0.4743994176387787
12,0,0,0.22625307738780975
12,1,1,0.8567773103713989
12,1,1,0.5909866690635681
12,0,1,0.17346076667308807
12,0,0,0.2352994680404663
12,0,0,0.45266085863113403
12,0,0,0.10485914349555969
12,0,0,0.27384239435195923
12,1,1,0.5769581198692322
12,0,1,0.47394052147865295
12,0,0,0.07636477798223495
12,0,1,0.36402347683906555
13,1,0,0.8776726126670837
13,1,0,0.664497435092926
13,1,1,0.5865843296051025
13,1,1,0.5516420006752014
13,1,0,0.7759431600570679
13,1,1,0.5212526321411133
13,1,1,0.9507765173912048
13,1,1,0.709546685218811
13,1,1,0.9275466799736023
13,1,0,0.5039604306221008
13,1,0,0.6262139678001404
13,1,1,0.628959596157074
13,0,0,0.43733882904052734
14,1,0,0.9245325326919556
14,1,0,0.6054182648658752
14,0,0,0.022782549262046814
14,1,1,0.6163880825042725
14,0,0,0.3205452263355255
14,0,0,0.41377198696136475
14,0,0,0.06663794815540314
14,0,1,0.44567063450813293
14,1,1,0.9245858192443848
14,0,0,0.26344987750053406
14,1,1,0.9548169374465942
14,1,1,0.5157512426376343
14,0,1,0.31282082200050354
15,0,0,0.43084606528282166
15,0,0,0.04472911357879639
15,0,0,0.037758760154247284
15,0,1,0.01594732515513897
15,0,0,0.07689424604177475
15,1,1,0.5631682872772217
15,0,1,0.34283119440078735
15,0,1,0.49726974964141846
15,0,0,0.4900466799736023
15,0,1,0.257866770029068
15,0,1,0.45128995180130005
15,1,1,0.5077126622200012
15,0,0,0.4718037247657776
15,0,0,0.49330592155456543
16,1,1,0.9629436135292053
16,1,1,0.7268111705780029
16,1,1,0.7581101655960083
16,0,0,0.22459612786769867
16,1,0,0.7502564191818237
16,0,1,0.23815791308879852
16,1,0,0.9228422045707703
16,0,0,0.31180769205093384
16,0,0,0.4662112891674042
16,0,1,0.2271919697523117
16,0,0,0.48754870891571045
16,1,1,0.6067264080047607
16,0,1,0.06563955545425415
17,1,0,0.9543594717979431
17,1,0,0.887788712978363
17,0,1,0.4178697168827057
17,1,1,0.5591402649879456
17,1,0,0.8604559898376465
17,0,0,0.4381416141986847
17,1,1,0.6207779049873352
17,0,0,0.3939943015575409
17,0,0,0.13375437259674072
17,0,1,0.15313157439231873
17,0,1,0.09243801236152649
17,1,1,0.6347097158432007
17,0,1,0.0950213298201561
18,0,0,0.4836430847644806
18,1,0,0.8303593397140503
18,1,1,0.5787310004234314
18,1,0,0.7892398834228516
18,0,0,0.4045347273349762
18,0,0,0.28720822930336
18,0,1,0.4613366723060608
18,1,1,0.8815340399742126
18,1,1,0.9977105855941772
18,1,0,0.8576220273971558
18,1,1,0.796586275100708
18,1,1,0.5647193789482117
18,0,1,0.123207688331604
19,1,1,0.8025704622268677
19,0,1,0.09215833246707916
19,0,1,0.13014744222164154
19,1,0,0.7903954982757568
19,0,0,0.4707096517086029
19,1,0,0.805367112159729
19,1,0,0.5452346801757812
19,1,0,0.6725819110870361
19,0,1,0.27034488320350647
19,1,1,0.8907873630523682
19,0,1,0.17777957022190094
19,0,0,0.4461391270160675
19,0,0,0.10379838198423386
20,1,0,0.5407713651657104
20,1,0,0.8705434203147888
20,0,0,0.38371384143829346
20,0,0,0.38004544377326965
20,1,1,0.7697456479072571
20,0,0,0.463651567697525
20,1,0,0.8691316246986389
20,0,1,0.26606205105781555
20,1,1,0.8497820496559143
20,1,1,0.9676694869995117
20,1,0,0.7285921573638916
20,1,1,0.5483918190002441
20,1,1,0.9676694869995117
20,0,1,0.2509947717189789
21,1,1,0.8073460459709167
21,0,0,0.032096605747938156
21,1,1,0.6382474899291992
21,0,1,0.11260271072387695
21,0,1,0.33029094338417053
21,0,0,0.49132969975471497
21,1,0,0.6455358266830444
21,1,1,0.5568692088127136
21,0,0,0.41267159581184387
21,1,1,0.7288830876350403
21,0,0,0.2121214121580124
21,0,1,0.1801488697528839
21,0,0,0.14733068645000458
22,1,0,0.7019658088684082
22,1,0,0.6672284007072449
22,1,1,0.844643235206604
22,0,1,0.28436028957366943
22,1,0,0.6225138306617737
22,1,0,0.8698024749755859
22,0,1,0.3591262400150299
22,1,1,0.9327129125595093
22,1,0,0.7185308337211609
22,1,1,0.7267508506774902
22,1,1,0.7035701870918274
22,0,0,0.3469679057598114
22,1,1,0.7824859619140625
23,1,0,0.8995515704154968
23,1,1,0.880526602268219
23,0,0,0.02241283841431141
23,1,1,0.6464528441429138
23,0,1,0.24841265380382538
23,1,1,0.8328090906143188
23,1,1,0.6110162734985352
23,0,0,0.2710449695587158
23,1,0,0.8721116185188293
23,0,0,0.05937371402978897
23,0,0,0.11485656350851059
23,0,1,0.34361332654953003
23,1,1,0.8165791034698486
24,1,1,0.6450097560882568
24,0,1,0.059088848531246185
24,0,0,0.3588227927684784
24,0,0,0.09221312403678894
24,0,1,0.32687482237815857
24,1,0,0.9865147471427917
24,0,0,0.009646554477512836
24,1,0,0.6659244298934937
24,0,0,0.42009299993515015
24,1,1,0.8680360317230225
24,1,1,0.9988126754760742
