ITERATION,PRED,TRUE,PROB.CASE
0,1,0,0.9998290538787842
0,0,1,1.1299891411908902e-05
0,0,0,0.07063855230808258
0,1,1,0.993411123752594
0,1,1,0.5457075238227844
0,0,0,0.3966676592826843
0,1,0,0.9971568584442139
0,1,0,0.9926443099975586
0,1,1,0.9931889772415161
0,0,1,0.06045844033360481
0,0,1,0.39678987860679626
0,0,0,0.0025567086413502693
0,1,1,0.9807455539703369
0,0,0,5.015764372728881e-07
1,1,0,0.9992784857749939
1,0,0,2.0061818959554722e-12
1,1,0,0.9999698400497437
1,0,1,0.00011056161019951105
1,0,0,1.313636679962909e-17
1,0,0,1.6529728586573708e-29
1,1,1,1.0
1,1,0,1.0
1,0,1,0.002403011079877615
1,1,1,1.0
1,0,1,0.00397605262696743
1,0,1,2.0268873454068532e-22
1,0,1,1.1478125543362694e-06
2,1,1,1.0
2,1,0,0.9999537467956543
2,0,1,0.44838982820510864
2,1,1,0.9958330988883972
2,0,0,0.14302542805671692
2,1,1,1.0
2,1,0,0.9999988079071045
2,0,1,0.48325812816619873
2,1,0,1.0
2,1,0,0.9999916553497314
2,0,0,1.1301861668755464e-09
2,0,1,5.041727035859367e-06
2,1,1,0.9990379810333252
3,0,0,0.00539589487016201
3,0,1,0.043545179069042206
3,0,1,0.0019347381312400103
3,0,1,0.007991479709744453
3,0,0,0.20633640885353088
3,1,1,0.9473888278007507
3,0,0,0.00025691307382658124
3,1,1,0.999817430973053
3,0,0,0.058135829865932465
3,1,1,0.6299844980239868
3,1,1,0.9999904632568359
3,0,0,0.0015691515291109681
3,1,0,0.923158586025238
4,0,0,0.0002243038616143167
4,1,1,0.999356210231781
4,0,0,0.013078845106065273
4,0,0,2.4451438207506726e-07
4,1,1,0.9448558688163757
4,0,0,0.011736699379980564
4,0,0,0.0002615132834762335
4,0,1,0.0002475883811712265
4,0,1,0.16356347501277924
4,0,0,0.01226031593978405
4,0,1,1.9703289000361224e-10
4,0,0,5.415537115971425e-11
4,0,1,6.021786957965958e-10
5,0,0,2.3935281264175464e-15
5,0,0,8.122330473270267e-05
5,1,0,1.0
5,0,1,8.712854651093949e-06
5,0,0,4.5821700211945426e-08
5,0,0,0.08889615535736084
5,1,1,1.0
5,1,1,0.999859094619751
5,1,1,1.0
5,0,0,1.651295917781681e-07
5,0,1,1.1410262247850064e-14
5,1,1,1.0
5,1,1,0.9999982118606567
5,0,0,0.06515438109636307
6,0,1,1.3880522509168713e-08
6,0,1,0.003434036625549197
6,0,1,2.6121467655570996e-08
6,0,0,4.843541034915688e-08
6,1,0,0.9999786615371704
6,0,0,1.8744475482890266e-07
6,0,1,4.797198471351294e-06
6,0,0,1.1746255523803484e-08
6,0,0,0.2333173304796219
6,0,0,1.129841848523938e-06
6,0,1,0.001154222758486867
6,0,1,3.6386140322974825e-08
6,0,1,0.08574461191892624
7,1,1,0.9993914365768433
7,0,0,6.096099241403863e-05
7,0,0,6.9252655521268025e-06
7,0,0,5.659585440298542e-06
7,0,1,0.00047547186841256917
7,0,1,0.10292620956897736
7,0,1,0.0007057565962895751
7,1,0,0.8071721792221069
7,0,0,5.494276138051646e-06
7,1,1,0.9390321373939514
7,0,1,0.00047491423902101815
7,0,1,0.0004430809640325606
7,0,0,1.308698392676888e-05
8,1,1,0.9858975410461426
8,1,1,0.9984216690063477
8,1,1,1.0
8,1,0,0.9999997615814209
8,1,0,1.0
8,1,0,1.0
8,1,0,0.6368901133537292
8,1,0,0.9999979734420776
8,1,1,1.0
8,1,0,0.9971010088920593
8,1,1,1.0
8,0,1,0.0012847327161580324
8,1,1,1.0
9,0,0,0.0037618025671690702
9,0,0,6.622632326980238e-07
9,0,1,2.563090364948728e-11
9,0,0,0.023917054757475853
9,0,1,0.4271526336669922
9,0,1,4.054639870382237e-12
9,1,1,0.7208083868026733
9,1,0,0.5867794752120972
9,1,1,1.0
9,1,0,0.9963422417640686
9,1,0,0.9999994039535522
9,0,0,1.810730675160606e-31
9,0,1,3.969449768881361e-12
10,0,0,2.0301096981256705e-07
10,1,1,0.9999793767929077
10,0,1,1.1526661847227615e-09
10,0,1,3.000815922860056e-06
10,0,0,1.1582029941641396e-15
10,0,0,0.38736826181411743
10,0,0,3.6434383218875155e-05
10,1,1,1.0
10,1,0,0.6092104911804199
10,1,0,0.9999996423721313
10,0,1,0.1333341896533966
10,1,1,1.0
10,1,1,0.8031728863716125
10,1,0,0.6248294115066528
11,0,1,6.65517000015825e-05
