ITERATION,PRED,TRUE,PROB.CASE
0,1,0,0.5326293110847473
0,0,1,0.3986700475215912
0,0,0,0.41057994961738586
0,1,1,0.5179005861282349
0,1,1,0.5752217173576355
0,1,0,0.6005542874336243
0,1,0,0.5312408208847046
0,1,0,0.7020607590675354
0,1,1,0.7864099144935608
0,1,1,0.6199928522109985
0,0,1,0.36730965971946716
0,0,0,0.3421872556209564
0,1,1,0.7150080800056458
0,1,0,0.61913001537323
1,1,0,0.8163124322891235
1,0,0,0.48084139823913574
1,1,0,0.5498865246772766
1,0,1,0.47271931171417236
1,0,0,0.3378434181213379
1,0,0,0.4983506202697754
1,1,1,0.8140882849693298
1,1,0,0.8198569416999817
1,0,1,0.34478598833084106
1,1,1,0.8032959699630737
1,1,1,0.553865373134613
1,0,1,0.2984168827533722
1,0,1,0.3187018632888794
2,1,1,0.8391174077987671
2,0,0,0.3726310133934021
2,1,1,0.6622986793518066
2,0,1,0.44743502140045166
2,0,0,0.43965965509414673
2,1,1,0.777508556842804
2,1,0,0.7546490430831909
2,1,1,0.785420835018158
2,1,0,0.544610321521759
2,1,0,0.7888610363006592
2,0,0,0.3454349935054779
2,1,1,0.5347238183021545
2,1,1,0.5953682065010071
3,0,0,0.3617278039455414
3,0,1,0.4145733714103699
3,1,1,0.5736956596374512
3,0,1,0.3770519495010376
3,0,0,0.43697991967201233
3,1,1,0.7600716948509216
3,0,0,0.49056726694107056
3,1,1,0.5413967967033386
3,0,0,0.3626229465007782
3,1,1,0.7663906216621399
3,1,1,0.7195907831192017
3,0,0,0.48455673456192017
3,1,0,0.5289359092712402
4,0,0,0.47375011444091797
4,0,1,0.471158504486084
4,1,0,0.5925270915031433
4,0,0,0.4812278747558594
4,1,1,0.6930598616600037
4,1,0,0.6288649439811707
4,1,0,0.544575572013855
4,0,1,0.3964015245437622
4,1,1,0.7244241237640381
4,1,0,0.6037701964378357
4,1,1,0.5683779120445251
4,1,0,0.5601464509963989
4,1,1,0.5734461545944214
5,0,0,0.2022836059331894
5,1,0,0.8250235319137573
5,0,0,0.266780823469162
5,0,1,0.15726183354854584
5,0,0,0.4522690773010254
5,0,0,0.35680460929870605
5,1,1,0.7334054708480835
5,1,1,0.7877585887908936
5,1,1,0.8232370018959045
5,1,0,0.6345421671867371
5,0,1,0.27071431279182434
5,1,1,0.5831116437911987
5,1,1,0.5172470808029175
