ITERATION,PRED,TRUE,PROB.CASE
6,0,1,0.13432596623897552
6,0,0,0.05834134668111801
6,1,0,0.849373996257782
6,0,0,0.04264593869447708
6,0,1,0.3756197392940521
6,1,0,0.9574245810508728
6,1,0,0.5055212378501892
6,0,0,0.07265230268239975
6,1,1,0.974388062953949
6,0,1,0.2909718453884125
6,0,1,0.11912523955106735
7,1,1,0.9671400785446167
7,0,0,0.4591406285762787
7,0,0,0.022109227254986763
7,0,0,0.05121419206261635
7,0,1,0.10288923978805542
7,0,1,0.13818518817424774
7,1,1,0.7240588665008545
7,1,0,0.7272342443466187
7,1,0,0.7525923848152161
7,1,1,0.9136003255844116
7,0,1,0.10948473960161209
7,0,1,0.019830137491226196
7,0,0,0.019902076572179794
8,0,1,0.05123158171772957
8,1,1,0.8320280909538269
8,0,1,0.38133031129837036
8,1,0,0.9772864580154419
8,1,0,0.9618518948554993
8,0,0,0.3132336735725403
8,0,0,0.02909049019217491
8,0,0,0.18841245770454407
8,0,1,0.2827654778957367
8,0,0,0.12689349055290222
8,1,1,0.9810460209846497
8,0,1,0.05720415711402893
8,0,1,0.49667343497276306
9,1,0,0.9367403984069824
9,0,0,0.10216096043586731
9,1,1,0.5691760182380676
9,0,0,0.1310032159090042
9,1,1,0.9614116549491882
9,0,1,0.12527583539485931
9,1,1,0.7086595296859741
9,1,0,0.9438631534576416
9,1,1,0.9843401312828064
9,0,0,0.2339988350868225
9,1,0,0.9783481955528259
9,0,0,0.07485896348953247
9,0,1,0.267734557390213
10,0,0,0.057947609573602676
10,1,1,0.7734869718551636
10,0,1,0.02351713739335537
10,0,1,0.03916791081428528
10,0,0,0.014251267537474632
10,0,0,0.18699708580970764
10,1,0,0.5502910017967224
10,1,1,0.8486106991767883
10,0,0,0.046221744269132614
10,0,0,0.34074991941452026
10,0,1,0.26495495438575745
10,1,1,0.952860414981842
10,0,1,0.027063515037298203
10,1,0,0.892652690410614
11,1,1,0.8847943544387817
11,0,0,0.24329246580600739
11,1,0,0.9126288294792175
11,0,1,0.07417172193527222
11,1,0,0.6202731132507324
11,1,1,0.5541048645973206
11,1,0,0.8995989561080933
11,0,0,0.39160698652267456
11,1,1,0.9629047513008118
11,1,0,0.8979353308677673
11,0,1,0.32643184065818787
11,1,1,0.959892749786377
11,0,1,0.0694376528263092
12,0,1,0.252545565366745
12,1,0,0.9682357311248779
12,1,1,0.9738579392433167
12,1,1,0.7881487607955933
12,0,1,0.03286651149392128
12,1,0,0.9421615600585938
12,1,0,0.8239163756370544
12,0,0,0.027028322219848633
12,0,0,0.2367475926876068
12,1,1,0.9597446322441101
12,0,1,0.18360398709774017
12,0,0,0.026743998751044273
12,0,1,0.027670525014400482
13,1,0,0.9367326498031616
13,1,0,0.8924393057823181
13,1,1,0.669681191444397
13,0,1,0.014858771115541458
13,0,0,0.016454024240374565
13,0,1,0.014792410656809807
13,1,1,0.8900893330574036
13,0,1,0.16402144730091095
13,1,1,0.824834942817688
13,0,0,0.402818500995636
13,0,0,0.12835972011089325
13,0,1,0.014379896223545074
13,0,0,0.0641387477517128
14,0,0,0.46914729475975037
14,1,0,0.884708046913147
14,0,0,0.027657832950353622
14,1,1,0.6321877241134644
14,0,0,0.09839774668216705
14,1,0,0.8347543478012085
14,0,0,0.02392151579260826
14,0,1,0.39028599858283997
14,1,1,0.9744516015052795
14,0,0,0.08045853674411774
14,1,1,0.9575088620185852
14,0,1,0.024519968777894974
14,0,1,0.03800695016980171
15,1,0,0.7988419532775879
15,0,0,0.21488052606582642
15,0,0,0.020976083353161812
15,0,1,0.02634306065738201
15,0,0,0.034845609217882156
15,1,1,0.9679349660873413
15,0,1,0.4014747738838196
15,1,1,0.8289438486099243
15,1,0,0.9702283143997192
15,0,1,0.12147464603185654
15,1,1,0.9711015820503235
15,1,1,0.9759014844894409
15,0,0,0.2881045937538147
15,1,0,0.927789568901062
16,1,1,0.9733731746673584
16,1,1,0.9302700757980347
16,1,1,0.9604101181030273
16,0,0,0.09723668545484543
16,1,0,0.9676181077957153
16,1,1,0.9460881948471069
16,1,0,0.6460698246955872
16,0,0,0.04065042361617088
16,0,0,0.06994122266769409
16,0,1,0.04178977385163307
16,0,0,0.04506639018654823
16,0,1,0.4093049168586731
16,0,1,0.09817024320363998
17,0,0,0.14868319034576416
17,1,0,0.8685880303382874
17,0,1,0.03551221638917923
17,0,1,0.016064444556832314
17,0,0,0.28896069526672363
17,0,0,0.03730401024222374
17,0,1,0.21499748528003693
17,0,0,0.1344832330942154
17,0,0,0.015120954252779484
17,0,1,0.021052196621894836
17,0,1,0.12962812185287476
17,1,1,0.8971239924430847
17,0,1,0.016037994995713234
18,0,0,0.22568196058273315
18,1,0,0.9543513655662537
18,1,1,0.8243101239204407
18,1,0,0.9767352342605591
18,0,0,0.173879936337471
18,0,0,0.05819099396467209
18,0,1,0.32184407114982605
18,1,1,0.9514129161834717
18,1,1,0.9869052171707153
18,1,0,0.6607145071029663
18,1,1,0.9816399812698364
18,1,1,0.9650911092758179
18,1,1,0.6336488127708435
19,1,1,0.7553145289421082
19,0,1,0.037452634423971176
19,0,1,0.04600682482123375
